=== Final Excel.xlsx ===
Sheets: ['Summary', 'Lights and Motorcycles', 'Heavy', 'Pedestrians', 'Bicycles on Crosswalk', 'Total Volume Class Breakdown', 'AM Peak Class Breakdown', 'PM Peak Class Breakdown']

--- Sheet: Summary (rows=13, cols=2) ---
Study Name | 1 - US 301 ALT & SE 53RD ST
Project | 26-017 US 301 South of Starke Traffic Counts
Project Code | 26-017
Legs and Movements | All Processed Legs & Movements
Bin Size | 15 minutes
Time Zone | America/New_York
Start Time | 2026-01-28 06:30:00
End Time | 2026-01-28 18:30:00
Location | US 301 ALT & SE 53RD ST
Latitude and Longitude | 29.91393544 , -82.13417409
 | 
AM Peak | 07:30 AM - 08:30 AM (0.958)
PM Peak (Overall Peak Hour) | 04:30 PM - 05:30 PM (0.993)

--- Sheet: Lights and Motorcycles (rows=35, cols=19) ---
Leg | US 301 |  |  |  |  |  | SE 53RD ST |  |  |  |  |  | US 301 |  |  |  |  | 
Direction | Southbound |  |  |  |  |  | Westbound |  |  |  |  |  | Northbound |  |  |  |  | 
Start Time | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW
2026-01-28 06:30:00 | 0 | 164 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 161 | 0 | 0 | 0 | 0
2026-01-28 06:45:00 | 0 | 148 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 139 | 0 | 0 | 0 | 0
2026-01-28 07:00:00 | 0 | 171 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 | 0 | 0 | 0 | 0
2026-01-28 07:15:00 | 0 | 205 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 148 | 0 | 0 | 0 | 0
2026-01-28 07:30:00 | 0 | 203 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 146 | 0 | 0 | 0 | 0
2026-01-28 07:45:00 | 0 | 196 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 181 | 0 | 0 | 0 | 0
2026-01-28 08:00:00 | 0 | 179 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 166 | 0 | 0 | 0 | 0
2026-01-28 08:15:00 | 0 | 175 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 204 | 0 | 0 | 0 | 0
2026-01-28 08:30:00 | 0 | 169 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 153 | 0 | 0 | 0 | 0
2026-01-28 08:45:00 | 0 | 168 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 164 | 0 | 0 | 0 | 0
2026-01-28 09:00:00 | 0 | 166 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 165 | 0 | 0 | 0 | 0
2026-01-28 09:15:00 | 0 | 170 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 161 | 0 | 0 | 0 | 0
2026-01-28 09:30:00 | 0 | 172 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 158 | 0 | 0 | 0 | 0
2026-01-28 09:45:00 | 0 | 171 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 177 | 0 | 0 | 0 | 0
2026-01-28 10:00:00 | 0 | 184 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 154 | 0 | 0 | 0 | 0
2026-01-28 10:15:00 | 0 | 155 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 180 | 0 | 0 | 0 | 0
2026-01-28 14:30:00 | 0 | 190 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 232 | 0 | 0 | 0 | 0
2026-01-28 14:45:00 | 0 | 207 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 208 | 0 | 0 | 0 | 0
2026-01-28 15:00:00 | 0 | 221 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 197 | 0 | 0 | 0 | 0
2026-01-28 15:15:00 | 0 | 189 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 201 | 0 | 0 | 0 | 0
2026-01-28 15:30:00 | 0 | 225 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 212 | 0 | 0 | 0 | 0
2026-01-28 15:45:00 | 0 | 237 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 238 | 0 | 0 | 0 | 0
2026-01-28 16:00:00 | 0 | 241 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 229 | 0 | 0 | 0 | 0
2026-01-28 16:15:00 | 0 | 207 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 230 | 0 | 0 | 0 | 0
2026-01-28 16:30:00 | 0 | 248 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 235 | 0 | 0 | 0 | 0
2026-01-28 16:45:00 | 0 | 192 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 293 | 0 | 0 | 0 | 0
2026-01-28 17:00:00 | 0 | 227 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 265 | 0 | 0 | 0 | 0
2026-01-28 17:15:00 | 0 | 220 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 252 | 0 | 0 | 0 | 0
2026-01-28 17:30:00 | 0 | 201 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 255 | 0 | 0 | 0 | 0
2026-01-28 17:45:00 | 0 | 203 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 244 | 0 | 0 | 0 | 0
2026-01-28 18:00:00 | 0 | 175 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 214 | 0 | 0 | 0 | 0
2026-01-28 18:15:00 | 0 | 182 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 152 | 0 | 0 | 0 | 0

--- Sheet: Heavy (rows=35, cols=19) ---
Leg | US 301 |  |  |  |  |  | SE 53RD ST |  |  |  |  |  | US 301 |  |  |  |  | 
Direction | Southbound |  |  |  |  |  | Westbound |  |  |  |  |  | Northbound |  |  |  |  | 
Start Time | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW
2026-01-28 06:30:00 | 0 | 51 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 48 | 0 | 0 | 0 | 0
2026-01-28 06:45:00 | 0 | 45 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 29 | 0 | 0 | 0 | 0
2026-01-28 07:00:00 | 0 | 33 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 45 | 0 | 0 | 0 | 0
2026-01-28 07:15:00 | 0 | 42 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 40 | 0 | 0 | 0 | 0
2026-01-28 07:30:00 | 0 | 50 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 29 | 0 | 0 | 0 | 0
2026-01-28 07:45:00 | 0 | 57 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 43 | 0 | 0 | 0 | 0
2026-01-28 08:00:00 | 0 | 53 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 48 | 0 | 0 | 0 | 0
2026-01-28 08:15:00 | 0 | 48 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 48 | 0 | 0 | 0 | 0
2026-01-28 08:30:00 | 0 | 41 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 26 | 0 | 0 | 0 | 0
2026-01-28 08:45:00 | 0 | 58 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 57 | 0 | 0 | 0 | 0
2026-01-28 09:00:00 | 0 | 40 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 39 | 0 | 0 | 0 | 0
2026-01-28 09:15:00 | 0 | 52 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 37 | 0 | 0 | 0 | 0
2026-01-28 09:30:00 | 0 | 50 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 37 | 0 | 0 | 0 | 0
2026-01-28 09:45:00 | 0 | 45 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 55 | 0 | 0 | 0 | 0
2026-01-28 10:00:00 | 0 | 48 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 31 | 0 | 0 | 0 | 0
2026-01-28 10:15:00 | 0 | 61 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 48 | 0 | 0 | 0 | 0
2026-01-28 14:30:00 | 0 | 60 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 75 | 0 | 0 | 0 | 0
2026-01-28 14:45:00 | 0 | 30 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 53 | 0 | 0 | 0 | 0
2026-01-28 15:00:00 | 0 | 32 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 53 | 0 | 0 | 0 | 0
2026-01-28 15:15:00 | 0 | 37 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 50 | 0 | 0 | 0 | 0
2026-01-28 15:30:00 | 0 | 30 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 42 | 0 | 0 | 0 | 0
2026-01-28 15:45:00 | 0 | 27 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 49 | 0 | 0 | 0 | 0
2026-01-28 16:00:00 | 0 | 35 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 46 | 0 | 0 | 0 | 0
2026-01-28 16:15:00 | 0 | 34 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 45 | 0 | 0 | 0 | 0
2026-01-28 16:30:00 | 0 | 34 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 44 | 0 | 0 | 0 | 0
2026-01-28 16:45:00 | 0 | 30 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 40 | 0 | 0 | 0 | 0
2026-01-28 17:00:00 | 0 | 24 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 42 | 0 | 0 | 0 | 0
2026-01-28 17:15:00 | 0 | 32 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 52 | 0 | 0 | 0 | 0
2026-01-28 17:30:00 | 0 | 28 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 36 | 0 | 0 | 0 | 0
2026-01-28 17:45:00 | 0 | 35 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 34 | 0 | 0 | 0 | 0
2026-01-28 18:00:00 | 0 | 38 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 38 | 0 | 0 | 0 | 0
2026-01-28 18:15:00 | 0 | 20 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 23 | 0 | 0 | 0 | 0

--- Sheet: Pedestrians (rows=35, cols=19) ---
Leg | US 301 |  |  |  |  |  | SE 53RD ST |  |  |  |  |  | US 301 |  |  |  |  | 
Direction | Southbound |  |  |  |  |  | Westbound |  |  |  |  |  | Northbound |  |  |  |  | 
Start Time | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW
2026-01-28 06:30:00 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
2026-01-28 06:45:00 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
