=== Preliminary Excel.xlsx ===
Sheets: ['Summary', 'Lights and Motorcycles', 'Heavy', 'Pedestrians', 'Bicycles on Crosswalk']

--- Sheet: Summary (rows=24, cols=2) ---
Study Name | 1 - US 301 ALT & SE 53RD ST
Project | 26-017 US 301 South of Starke Traffic Counts
Project Code | 26-017
Legs and Movements | All Processed Legs & Movements
Bin Size | 15 minutes
Time Zone | America/New_York
Start Time | 2026-01-28 06:30:00
End Time | 2026-01-28 18:29:59
Location | US 301 ALT & SE 53RD ST
Latitude and Longitude | 29.91393544 , -82.13417409
 | 
AM Peak | 
Midday Peak | 
PM Peak (Overall Peak Hour) | 
 | 
 | 
 | 
 | 
 | 
 | 
 | 
 | 
 | 
 | 

--- Sheet: Lights and Motorcycles (rows=67, cols=19) ---
Leg | US 301 |  |  |  |  |  | SE 53RD ST |  |  |  |  |  | US 301 |  |  |  |  | 
Direction | Southbound |  |  |  |  |  | Westbound |  |  |  |  |  | Northbound |  |  |  |  | 
Start Time | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW | Right | Thru | Left | U-Turn | Peds CW | Peds CCW
2026-01-28 06:29:59.870000 | 0 | 164 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 161 | 0 | 0 | 0 | 0
2026-01-28 06:44:59.865000 | 0 | 148 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 139 | 0 | 0 | 0 | 0
2026-01-28 06:59:59.860000 | 0 | 171 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 | 0 | 0 | 0 | 0
2026-01-28 07:14:59.855000 | 0 | 205 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 148 | 0 | 0 | 0 | 0
2026-01-28 07:29:59.850000 | 0 | 203 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 146 | 0 | 0 | 0 | 0
2026-01-28 07:44:59.845000 | 0 | 196 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 181 | 0 | 0 | 0 | 0
2026-01-28 07:59:59.840000 | 0 | 179 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 166 | 0 | 0 | 0 | 0
2026-01-28 08:14:59.835000 | 0 | 175 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 204 | 0 | 0 | 0 | 0
2026-01-28 08:29:59.830000 | 0 | 169 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 153 | 0 | 0 | 0 | 0
2026-01-28 08:44:59.825000 | 0 | 168 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 164 | 0 | 0 | 0 | 0
2026-01-28 08:59:59.820000 | 0 | 166 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 165 | 0 | 0 | 0 | 0
2026-01-28 09:14:59.815000 | 0 | 170 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 161 | 0 | 0 | 0 | 0
2026-01-28 09:29:59.810000 | 0 | 172 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 158 | 0 | 0 | 0 | 0
2026-01-28 09:44:59.805000 | 0 | 171 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 177 | 0 | 0 | 0 | 0
2026-01-28 09:59:59.800000 | 0 | 184 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 154 | 0 | 0 | 0 | 0
2026-01-28 10:14:59.795000 | 0 | 155 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 180 | 0 | 0 | 0 | 0
2026-01-28 14:29:59.710000 | 0 | 190 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 232 | 0 | 0 | 0 | 0
2026-01-28 14:44:59.705000 | 0 | 207 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 208 | 0 | 0 | 0 | 0
2026-01-28 14:59:59.700000 | 0 | 221 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 197 | 0 | 0 | 0 | 0
2026-01-28 15:14:59.695000 | 0 | 189 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 201 | 0 | 0 | 0 | 0
2026-01-28 15:29:59.690000 | 0 | 225 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 212 | 0 | 0 | 0 | 0
2026-01-28 15:44:59.685000 | 0 | 237 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 238 | 0 | 0 | 0 | 0
2026-01-28 15:59:59.680000 | 0 | 241 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 229 | 0 | 0 | 0 | 0
2026-01-28 16:14:59.675000 | 0 | 207 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 230 | 0 | 0 | 0 | 0
2026-01-28 16:29:59.670000 | 0 | 248 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 235 | 0 | 0 | 0 | 0
2026-01-28 16:44:59.665000 | 0 | 192 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 293 | 0 | 0 | 0 | 0
2026-01-28 16:59:59.660000 | 0 | 227 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 265 | 0 | 0 | 0 | 0
2026-01-28 17:14:59.655000 | 0 | 220 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 252 | 0 | 0 | 0 | 0
2026-01-28 17:29:59.650000 | 0 | 201 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 255 | 0 | 0 | 0 | 0
2026-01-28 17:44:59.645000 | 0 | 203 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 244 | 0 | 0 | 0 | 0
